,Symbols,Expression Cutoffs,log-rank P Values,best_quantile,higher_median,lower_median
119,LAMTOR4,34.843970873399996,0.0691168204619871,0.7,17.687671232876713,10.808219178082192
120,PHYKPL,4.285920510042001,0.4663869067237095,0.8,10.052054794520547,10.808219178082192
121,KIAA1328,0.4237173645536,0.09974173012334088,0.1,10.808219178082192,17.687671232876713
122,NME1-NME2,0.858391172675,0.08597410920771574,0.7,18.063013698630137,10.756164383561643
123,PHLDA2,2.042421380884,0.20464192731976646,0.1,12.208219178082192,6.904109589041096
124,CBL,5.874972318024001,0.2765381638089405,0.9,inf,10.808219178082192
125,RLN1,0.1190454772306,0.0006196523062741932,0.3,12.208219178082192,17.687671232876713
126,CLN6,7.610512592201001,0.005899279636363267,0.1,12.208219178082192,7.6657534246575345
127,EFS,17.672359707849996,0.022709151325169024,0.7,10.808219178082192,10.797260273972602
128,ERRFI1,17.86089853404,0.008863755661056901,0.6,inf,9.482191780821918
129,EVPL,2.744518217906,0.1557420279739964,0.1,10.808219178082192,10.052054794520547
130,SMIM2,0.04684891237010002,0.18738035834783662,0.8,17.687671232876713,10.797260273972602
131,IL27RA,2.726706475308,9.157406084090331e-05,0.2,18.063013698630137,7.852054794520548
132,WDR70,3.1464443669280002,0.4551854815489992,0.1,10.808219178082192,12.208219178082192
133,BRDT,0.25452181956730036,0.2497982815104957,0.9,inf,10.797260273972602
134,OTUD1,5.392318829366,0.2363163958627526,0.4,10.052054794520547,17.687671232876713
135,TTC5,1.298494834538,0.011467154003892222,0.2,10.797260273972602,17.687671232876713
136,PDCD6,9.279824951859002,0.2630802686731852,0.3,17.687671232876713,10.052054794520547
137,MRPS11,5.531939420996,0.10841722187204608,0.8,12.208219178082192,10.797260273972602
138,EPB41L2,2.236262626828,0.03207431516571798,0.1,10.808219178082192,10.797260273972602
139,EPHA3,0.8152373278955,0.01395764349501937,0.7,9.364383561643836,17.687671232876713
140,DIO1,2.8579238341859994,0.12824684909831882,0.7,9.364383561643836,10.797260273972602
141,C1orf35,2.618943377081,0.09455405889878031,0.1,12.208219178082192,7.852054794520548
142,LDHA,63.14542439042,0.05722575156462557,0.2,12.208219178082192,9.364383561643836
